trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.8, 'e': 0.8449999999999999}",20,0,-73.72079856253919,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.8399999999999999}",30,0,-120.94514633739259,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
33,False,"{'a': 0.8, 'e': 0.8349999999999999}",25,0,-57.31447449952182,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.8299999999999998}",20,0,-100.78024701164243,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.8249999999999998}",20,0,-106.13353569522259,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.8199999999999998}",25,0,3.5888413977061795,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.8149999999999998}",35,0,-176.47583911920802,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.8, 'e': 0.8099999999999998}",20,11,-43.326975487254664,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.8, 'e': 0.8049999999999998}",25,15,7.751431725228963,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.7999999999999998}",20,0,-5.477736237845857,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.7949999999999998}",25,7,-75.33512007976606,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
42,False,"{'a': 0.8, 'e': 0.7899999999999998}",20,0,-111.64570764005691,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.8, 'e': 0.7849999999999998}",30,0,-148.57494409567013,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.8, 'e': 0.7799999999999998}",25,0,-80.76724414819957,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.7749999999999998}",20,0,7.230327839573749,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.7699999999999998}",20,0,-27.568867400827568,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.7649999999999998}",20,0,-168.86674114767666,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.8, 'e': 0.7599999999999998}",30,0,-38.91348008371055,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.7549999999999998}",20,0,-122.57051517693245,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.8, 'e': 0.7499999999999998}",20,14,4.748562837661844,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.7449999999999998}",20,0,-178.00128218082594,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
52,False,"{'a': 0.8, 'e': 0.7399999999999998}",30,13,-94.73935078360911,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
53,False,"{'a': 0.8, 'e': 0.7349999999999998}",30,13,-108.78237613817164,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
54,False,"{'a': 0.8, 'e': 0.7299999999999998}",25,3,-63.90659689246014,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 0}",1
